Food_ID,Name,Carbs DV%,Fats DV%,Proteins DV%,Congenital Heart Disease,Coronary Artery Disease,Dilated Cardiomyopathy
0,Aloo gobi,1.575733333,0.058461538,1.9532,1,1,1
1,Aloo tikki,1.575733333,0.058461538,1.9532,1,1,1
2,Aloo tuk,1.575733333,0.058461538,1.9532,1,1,1
3,Aloo matar,1.575733333,0.058461538,1.9532,1,1,1
4,Aloo methi,1.575733333,0.058461538,1.9532,1,1,1
5,Aloo shimla mirch,1.575733333,0.058461538,1.9532,1,1,1
6,Amriti with rabdi,13.39891816,24.2898925,25.77744067,1,1,1
7,Amritsari fish,0,4.184615385,64.256,0,1,1
8,Amritsari kulcha,11.14,1.107692308,10.92,1,0,1
9,Baati,62.3104,19.14092308,82.3296,1,0,1
10,Bhatura,22.06370368,26.16868614,22.10627048,1,0,1
11,Bhindi masala,0.294895833,0.034711538,0.458375,1,1,1
12,Biryani,26.5958332,45.01143034,54.01398728,0,1,0
13,Butter chicken,0.0226,141.0066154,1.921,1,1,1
14,Chaat,24.39417672,9.663396618,41.45343587,1,1,1
15,Chana masala,0.066433334,0.025076923,0.0652,1,1,1
16,Chapati,0.154533333,0.114615385,0.225,1,0,1
17,Chicken razala,0,278.0307692,446.4,0,1,1
18,Chicken Tikka,0,278.0307692,446.4,0,1,1
19,Chicken Tikka masala,0.45676,0.254015385,0.23142,1,1,1
20,Chole bhature,94.00533333,41.62953846,183.4112,1,1,1
21,Daal baati churma,62.3104,19.14092308,82.3296,1,0,1
22,Daal puri,11.14,1.107692308,10.92,1,0,1
23,Dal makhani (kali dal),5.9864743,0.4623153,13.96497509,1,1,1
24,Dal fara,5.9864743,0.4623153,13.96497509,1,1,1
25,Dal,5.9864743,0.4623153,13.96497509,1,1,1
26,Dal fry with tadka,5.9864743,0.4623153,13.96497509,1,1,1
27,Dum aloo,1.575733333,0.058461538,1.9532,1,1,1
28,Poha,7.479549184,0.226796185,3.685438006,1,1,1
29,phirni,22.10600447,20.9570273,18.41572675,1,1,1
30,French bean aloo,1.161666667,0.169230769,1.83,1,1,1
31,Gajar ka halwa,9.58,1.107692308,5.58,1,1,1
32,Gajar matar aloo,9.58,1.107692308,5.58,1,1,1
33,Gobhi matar,9.633333333,1.230769231,21.68,1,1,1
34,Imarti,36.86194369,20.87498317,14.08736617,1,1,1
